date,Rt_median,Rt_5%ile,Rt_25%ile,Rt_75%ile,Rt_95%ile,hosp_median,hosp_5%ile,hosp_25%ile,hosp_75%ile,hosp_95%ile,icu_median,icu_5%ile,icu_25%ile,icu_75%ile,icu_95%ile
2022-06-27,0.959,0.830,0.907,1.017,1.134,21.944,4.314,14.793,29.288,39.667,5.022,0.000,0.000,10.632,19.457
2022-06-28,0.948,0.824,0.899,1.003,1.117,22.217,4.502,15.004,29.668,39.961,5.031,0.000,0.000,10.701,19.454
2022-06-29,0.934,0.813,0.886,0.988,1.105,22.494,4.468,15.188,30.022,40.342,5.060,0.000,0.000,10.747,19.482
2022-06-30,0.917,0.795,0.867,0.976,1.097,22.669,4.360,15.351,30.258,40.646,5.083,0.000,0.000,10.768,19.458
2022-07-01,0.897,0.761,0.842,0.970,1.102,22.874,4.279,15.444,30.489,41.121,5.100,0.000,0.000,10.792,19.494
2022-07-02,0.881,0.715,0.814,0.970,1.105,23.033,4.270,15.436,30.763,41.703,5.106,0.000,0.000,10.791,19.518
2022-07-03,0.868,0.666,0.785,0.973,1.118,23.120,4.179,15.477,30.979,42.250,5.081,0.000,0.000,10.794,19.545
2022-07-04,0.857,0.621,0.757,0.972,1.132,23.247,4.029,15.421,31.150,42.490,5.065,0.000,0.000,10.783,19.556
2022-07-05,0.844,0.591,0.737,0.971,1.136,23.303,3.815,15.388,31.313,42.796,5.024,0.000,0.000,10.743,19.515
2022-07-06,0.836,0.575,0.725,0.965,1.132,23.314,3.552,15.310,31.431,43.185,4.970,0.000,0.000,10.689,19.483
2022-07-07,0.830,0.577,0.724,0.955,1.114,23.323,3.263,15.125,31.550,43.580,4.913,0.000,0.000,10.606,19.409
2022-07-08,0.826,0.582,0.725,0.946,1.097,23.250,2.915,14.902,31.608,43.931,4.813,0.000,0.000,10.523,19.399
2022-07-09,0.824,0.589,0.727,0.937,1.076,23.130,2.555,14.726,31.601,44.239,4.715,0.000,0.000,10.439,19.304
2022-07-10,0.821,0.597,0.729,0.930,1.058,23.040,2.300,14.524,31.567,44.621,4.577,0.000,0.000,10.322,19.243
2022-07-11,0.820,0.605,0.733,0.923,1.041,22.875,1.855,14.222,31.541,44.897,4.435,0.000,0.000,10.178,19.223
2022-07-12,0.819,0.613,0.735,0.915,1.027,22.697,1.381,13.953,31.398,45.197,4.277,0.000,0.000,10.046,19.096
2022-07-13,0.818,0.623,0.740,0.908,1.011,22.549,0.970,13.635,31.344,45.417,4.110,0.000,0.000,9.921,18.964
2022-07-14,0.818,0.633,0.745,0.902,0.998,22.419,0.539,13.387,31.301,45.457,3.904,0.000,0.000,9.760,18.856
2022-07-15,0.818,0.643,0.750,0.896,0.984,22.172,0.076,13.085,31.226,45.780,3.692,0.000,0.000,9.596,18.686
2022-07-16,0.819,0.654,0.754,0.890,0.973,21.989,0.000,12.777,31.161,45.878,3.490,0.000,0.000,9.431,18.546
2022-07-17,0.819,0.665,0.760,0.886,0.963,21.817,0.000,12.461,31.095,46.024,3.262,0.000,0.000,9.241,18.369
2022-07-18,0.820,0.675,0.765,0.882,0.952,21.607,0.000,12.166,31.062,46.060,3.027,0.000,0.000,9.039,18.172
2022-07-19,0.820,0.684,0.769,0.877,0.944,21.418,0.000,11.903,30.991,46.059,2.807,0.000,0.000,8.853,17.963
2022-07-20,0.821,0.693,0.772,0.872,0.936,21.263,0.000,11.651,30.940,46.114,2.581,0.000,0.000,8.690,17.786
2022-07-21,0.820,0.701,0.776,0.868,0.927,21.108,0.000,11.420,30.858,46.113,2.370,0.000,0.000,8.506,17.592
2022-07-22,0.820,0.708,0.778,0.864,0.918,20.957,0.000,11.204,30.748,46.155,2.175,0.000,0.000,8.333,17.410
2022-07-23,0.819,0.713,0.780,0.860,0.911,20.801,0.000,11.004,30.652,46.217,1.978,0.000,0.000,8.169,17.253
2022-07-24,0.818,0.718,0.781,0.855,0.904,20.639,0.000,10.788,30.582,46.165,1.801,0.000,0.000,8.018,17.095
2022-07-25,0.816,0.721,0.781,0.851,0.898,20.490,0.000,10.587,30.412,46.099,1.644,0.000,0.000,7.875,16.967
2022-07-26,0.814,0.722,0.780,0.847,0.891,20.303,0.000,10.326,30.276,46.028,1.498,0.000,0.000,7.748,16.842
2022-07-27,0.812,0.722,0.779,0.844,0.886,20.143,0.000,10.118,30.149,45.989,1.371,0.000,0.000,7.636,16.741
2022-07-28,0.809,0.721,0.777,0.840,0.880,20.011,0.000,9.850,30.005,45.800,1.255,0.000,0.000,7.530,16.649
2022-07-29,0.807,0.721,0.775,0.836,0.874,19.807,0.000,9.611,29.840,45.606,1.151,0.000,0.000,7.447,16.566
2022-07-30,0.805,0.720,0.774,0.833,0.870,19.572,0.000,9.327,29.671,45.397,1.058,0.000,0.000,7.375,16.489
2022-07-31,0.803,0.718,0.772,0.831,0.866,19.319,0.000,9.077,29.471,45.193,0.974,0.000,0.000,7.311,16.418
2022-08-01,0.801,0.718,0.770,0.829,0.863,19.009,0.000,8.738,29.175,44.952,0.900,0.000,0.000,7.252,16.358
2022-08-02,0.799,0.718,0.769,0.827,0.860,18.695,0.000,8.427,28.896,44.681,0.838,0.000,0.000,7.199,16.306
2022-08-03,0.798,0.719,0.768,0.826,0.858,18.351,0.000,8.117,28.584,44.448,0.781,0.000,0.000,7.155,16.265
2022-08-04,0.798,0.720,0.768,0.824,0.856,18.005,0.000,7.747,28.297,44.189,0.731,0.000,0.000,7.114,16.228
2022-08-05,0.797,0.720,0.768,0.824,0.856,17.648,0.000,7.387,27.953,43.856,0.686,0.000,0.000,7.078,16.191
2022-08-06,0.798,0.720,0.768,0.824,0.856,17.298,0.000,6.986,27.594,43.508,0.642,0.000,0.000,7.045,16.161
2022-08-07,0.799,0.720,0.769,0.825,0.857,16.921,0.000,6.547,27.276,43.149,0.604,0.000,0.000,7.015,16.134
2022-08-08,0.799,0.722,0.770,0.826,0.858,16.533,0.000,6.158,26.901,42.780,0.571,0.000,0.000,6.988,16.109
2022-08-09,0.800,0.725,0.772,0.827,0.859,16.130,0.000,5.742,26.541,42.421,0.541,0.000,0.000,6.963,16.084
2022-08-10,0.802,0.728,0.774,0.829,0.861,15.730,0.000,5.358,26.172,42.005,0.514,0.000,0.000,6.944,16.061
2022-08-11,0.804,0.731,0.777,0.831,0.863,15.327,0.000,4.980,25.774,41.596,0.488,0.000,0.000,6.925,16.043
2022-08-12,0.807,0.734,0.781,0.833,0.866,14.904,0.000,4.562,25.378,41.227,0.463,0.000,0.000,6.907,16.025
2022-08-13,0.810,0.738,0.784,0.835,0.869,14.493,0.000,4.168,24.986,40.857,0.441,0.000,0.000,6.889,16.005
2022-08-14,0.813,0.742,0.787,0.838,0.873,14.045,0.000,3.735,24.572,40.472,0.419,0.000,0.000,6.866,15.988
2022-08-15,0.817,0.745,0.791,0.842,0.876,13.611,0.000,3.251,24.123,40.096,0.401,0.000,0.000,6.844,15.971
2022-08-16,0.820,0.748,0.795,0.846,0.879,13.212,0.000,2.831,23.663,39.729,0.382,0.000,0.000,6.826,15.955
2022-08-17,0.824,0.751,0.798,0.850,0.884,12.804,0.000,2.424,23.261,39.397,0.363,0.000,0.000,6.807,15.940
2022-08-18,0.829,0.754,0.802,0.854,0.889,12.453,0.000,2.033,22.843,38.947,0.343,0.000,0.000,6.788,15.926
2022-08-19,0.833,0.759,0.806,0.858,0.894,12.069,0.000,1.655,22.453,38.534,0.325,0.000,0.000,6.769,15.913
2022-08-20,0.836,0.764,0.810,0.862,0.898,11.672,0.000,1.278,22.065,38.180,0.310,0.000,0.000,6.758,15.899
2022-08-21,0.840,0.768,0.814,0.866,0.903,11.282,0.000,0.907,21.716,37.823,0.297,0.000,0.000,6.746,15.887
2022-08-22,0.845,0.772,0.818,0.870,0.908,10.945,0.000,0.553,21.380,37.489,0.281,0.000,0.000,6.733,15.876
2022-08-23,0.849,0.777,0.822,0.874,0.913,10.604,0.000,0.179,21.036,37.061,0.270,0.000,0.000,6.717,15.865
2022-08-24,0.853,0.781,0.825,0.878,0.916,10.261,0.000,0.000,20.701,36.783,0.262,0.000,0.000,6.699,15.855
2022-08-25,0.856,0.784,0.829,0.882,0.920,9.932,0.000,0.000,20.366,36.457,0.252,0.000,0.000,6.683,15.845
2022-08-26,0.860,0.789,0.833,0.886,0.924,9.595,0.000,0.000,20.089,36.141,0.242,0.000,0.000,6.668,15.835
2022-08-27,0.864,0.792,0.837,0.890,0.929,9.301,0.000,0.000,19.809,35.822,0.235,0.000,0.000,6.658,15.826
2022-08-28,0.867,0.796,0.839,0.894,0.933,9.013,0.000,0.000,19.521,35.522,0.225,0.000,0.000,6.647,15.817
2022-08-29,0.871,0.799,0.843,0.898,0.937,8.706,0.000,0.000,19.224,35.261,0.212,0.000,0.000,6.639,15.809
